report_period_start,report_period_end,interval_start,interval_end,container_name,image_name,pod,owner_name,owner_kind,workload,workload_type,namespace,node,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum
,,2023-03-21T18:27:05.438158,2023-03-21T18:42:05.438158,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,3.851458999182409,1.7645569592015817,6.685386032999182,3.851458999182409,0,0,0,2733000000,2733000000,2733000000,2733000000,1043869035.3548388,1040486400,1046061056,1043869035.3548388,1030068950.7096773,1028579328,1031127040,1030068950.7096773
,,2023-03-21T18:27:05.438158,2023-03-21T18:42:05.438158,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,4.203746618834427,2.0581869838992133,8.055338642233982,4.203746618834427,0,0,0,2733000000,2733000000,2733000000,2733000000,926141781.3333334,922509312,928559104,926141781.3333334,907353702.4000002,905744384,908439552,907353702.4000002
,,2023-03-21T18:27:05.438158,2023-03-21T18:42:05.438158,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,4.040183029320196,1.655286410994207,7.521404366171919,4.040183029320196,0.00028694428390804765,0.00028694428390804765,0.00028694428390804765,2733000000,2733000000,2733000000,2733000000,1188766488.7741935,1050877952,1200111616,1188766488.7741935,1158710437.1612902,1022681088,1168867328,1158710437.1612902
,,2023-03-21T18:42:05.532242,2023-03-21T18:57:05.532242,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,2.9443669877265997,1.738030058463725,4.4264121275705595,2.9443669877265997,0,0,0,2733000000,2733000000,2733000000,2733000000,1043931400.2580646,1037258752,1046384640,1043931400.2580646,1030284981.6774194,1027174400,1031184384,1030284981.6774194
,,2023-03-21T18:42:05.532242,2023-03-21T18:57:05.532242,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,3.1194812767479263,1.7282937416030715,4.548298657072397,3.1194812767479263,0,0,0,2733000000,2733000000,2733000000,2733000000,926622515.2,920535040,928608256,926622515.2,907626632.5333332,904835072,908460032,907626632.5333332
,,2023-03-21T18:42:05.532242,2023-03-21T18:57:05.532242,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,2.899474211255502,1.607183579999643,4.487535816229259,2.899474211255502,0,0,0,2733000000,2733000000,2733000000,2733000000,1197895415.7419353,1191473152,1200152576,1197895415.7419353,1168098072.7741933,1165123584,1169006592,1168098072.7741933
,,2023-03-21T18:57:05.532269,2023-03-21T19:12:05.532269,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,2.5052727975277236,1.4766408205032349,3.795438963539588,2.5052727975277236,0,0,0,2733000000,2733000000,2733000000,2733000000,1037914376.2580645,1037176832,1039556608,1037914376.2580645,1027142424.7741935,1027067904,1027219456,1027142424.7741935
,,2023-03-21T18:57:05.532269,2023-03-21T19:12:05.532269,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,2.880184962198966,1.381421817932278,4.076159485406242,2.880184962198966,0,0,0,2733000000,2733000000,2733000000,2733000000,920766600.5333335,920444928,921616384,920766600.5333335,904841352.5333333,904806400,904953856,904841352.5333333
,,2023-03-21T18:57:05.532269,2023-03-21T19:12:05.532269,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,2.5281400200411577,1.3039787059339385,3.8446571649285035,2.5281400200411577,0,0,0,2733000000,2733000000,2733000000,2733000000,1191813384.2580643,1191211008,1192992768,1191813384.2580643,1165078660.1290324,1164951552,1165221888,1165078660.1290324
,,2023-03-21T19:12:05.532260,2023-03-21T19:27:05.532260,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,2.665027518156761,0.8136653663978601,4.42818574400153,2.665027518156761,0,0,0,2733000000,2733000000,2733000000,2733000000,1039986952.2580645,1037287424,1046749184,1039986952.2580645,1028085429.6774194,1027059712,1031278592,1028085429.6774194
,,2023-03-21T19:12:05.532260,2023-03-21T19:27:05.532260,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,2.938887252045485,1.4141553031358247,4.453558097500354,2.938887252045485,0,0,0,2733000000,2733000000,2733000000,2733000000,921086361.5999999,920309760,922681344,921086361.5999999,904930372.2666668,904765440,905519104,904930372.2666668
,,2023-03-21T19:12:05.532260,2023-03-21T19:27:05.532260,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,2.6628539500843424,1.3695127348337943,4.600350503235434,2.6628539500843424,0,0,0,2733000000,2733000000,2733000000,2733000000,1174542666.3225806,1112469504,1201815552,1174542666.3225806,1146436707.096774,1080729600,1168150528,1146436707.096774
,,2023-03-21T19:27:05.532265,2023-03-21T19:42:05.532265,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,3.0492652642745006,1.7265941768341386,4.235008787061088,3.0492652642745006,0,0,0,2733000000,2733000000,2733000000,2733000000,1046062641.5483869,1045778432,1046650880,1046062641.5483869,1031418780.9032257,1031294976,1031495680,1031418780.9032257
,,2023-03-21T19:27:05.532265,2023-03-21T19:42:05.532265,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,3.0887336097611113,1.614433061137485,4.143834341131151,3.0887336097611113,0,0,0,2733000000,2733000000,2733000000,2733000000,922533614.9333333,922353664,922943488,922533614.9333333,905641437.8666668,905547776,905732096,905641437.8666668
,,2023-03-21T19:27:05.532265,2023-03-21T19:42:05.532265,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,2.9991773478412593,1.6182537759654223,4.003574470935079,2.9991773478412593,0,0,0,2733000000,2733000000,2733000000,2733000000,1113099627.3548388,1112858624,1113767936,1113099627.3548388,1081435301.1612902,1081348096,1081479168,1081435301.1612902
,,2023-03-21T19:42:05.532259,2023-03-21T19:57:05.532259,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,3.8682414908055223,1.8564457857981325,5.471816580300219,3.8682414908055223,0,0,0,2733000000,2733000000,2733000000,2733000000,1040259138.0645162,1038319616,1046515712,1040259138.0645162,1028472303.4838707,1027792896,1031438336,1028472303.4838707
,,2023-03-21T19:42:05.532259,2023-03-21T19:57:05.532259,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,4.242044632046537,1.7351081357958416,6.382442649430596,4.242044632046537,0,0,0,2733000000,2733000000,2733000000,2733000000,915458457.6000001,912818176,923009024,915458457.6000001,902350438.4000001,901926912,905629696,902350438.4000001
,,2023-03-21T19:42:05.532259,2023-03-21T19:57:05.532259,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,3.8477137384242894,2.4136036885359013,5.193055933667347,3.8477137384242894,0,0,0,2733000000,2733000000,2733000000,2733000000,1107186588.9032257,1105842176,1113133056,1107186588.9032257,1078612760.7741935,1078136832,1081450496,1078612760.7741935
