report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-31 10:45:01 +0000 UTC,2023-05-31 11:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006717,0.003577,0.010416,0.006717,0,0,0,268435456,268435456,536870912,536870912,270728687.483871,269361152,271777792,270728687.483871,258532252.903226,258473984,258707456,258532252.903226
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 11:00:01 +0000 UTC,2023-05-29 11:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006521,0.003253,0.015608,0.006521,0,0,0,268435456,268435456,536870912,536870912,123806242.133333,121819136,124645376,123806242.133333,115674043.733333,113692672,116371456,115674043.733333
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 11:15:01 +0000 UTC,2023-05-29 11:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.00639,0.003726,0.009741,0.00639,0,0,0,268435456,268435456,536870912,536870912,118305032.258065,117559296,118796288,118305032.258065,107584611.096774,106819584,108081152,107584611.096774
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 11:30:01 +0000 UTC,2023-05-29 11:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.00639,0.002787,0.010481,0.00639,0,0,0,268435456,268435456,536870912,536870912,272104018.580645,271450112,273448960,272104018.580645,259094461.935484,258473984,260440064,259094461.935484
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 11:45:01 +0000 UTC,2023-05-29 12:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006812,0.00358,0.011519,0.006812,0,0,0,268435456,268435456,536870912,536870912,200167291.870968,196308992,208359424,200167291.870968,176272681.290323,172429312,184414208,176272681.290323
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 12:00:01 +0000 UTC,2023-05-29 12:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006314,0.003812,0.009891,0.006314,0,0,0,268435456,268435456,536870912,536870912,322882394.83871,256290816,350547968,322882394.83871,307482888.258065,243286016,334131200,307482888.258065
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 12:15:01 +0000 UTC,2023-05-29 12:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.00806,0.003822,0.037371,0.00806,0,0,0,268435456,268435456,536870912,536870912,122318980.129032,118796288,128159744,122318980.129032,111555088.516129,108081152,117358592,111555088.516129
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 12:30:01 +0000 UTC,2023-05-29 12:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.007149,0.003019,0.027854,0.007149,0,0,0,268435456,268435456,536870912,536870912,273807161.806452,273350656,274440192,273807161.806452,260820727.741935,260370432,261427200,260820727.741935
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 12:45:01 +0000 UTC,2023-05-29 13:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006737,0.003138,0.012965,0.006737,0,0,0,268435456,268435456,536870912,536870912,208288734.967742,208158720,208683008,208288734.967742,184394124.387097,184274944,184741888,184394124.387097
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-29 13:00:01 +0000 UTC,2023-05-29 13:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006529,0.003223,0.010038,0.006529,0,0,0,268435456,268435456,536870912,536870912,125792802.133333,124514304,135442432,125792802.133333,117645448.533333,116371456,127250432,117645448.533333
