report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 13:30:01 +0000 UTC,2023-06-07 13:45:00 +0000 UTC,stage-index,stage-index-zz5qw,stage-index,Job,stage-index,job,stage,quay.io/stage,ip.ec2.internal,9023750193,9.24,9.24,9.24,9.24,3.10923955344,1.49347101073557,4.4782059093006,3.10923955344,0,0,0,2733000000,2733000000,2733000000,2733000000,1081414451.2,1081098240,1081954304,1081414451.2,1072505105.06667,1072451584,1072541696,1072505105.06667
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 13:45:01 +0000 UTC,2023-06-07 14:00:00 +0000 UTC,stage-index,stage-index-zz5qw,stage-index,Job,stage-index,job,stage,quay.io/stage,ip.ec2.internal,9023750193,9.24,9.24,9.24,9.24,2.89047717174205,1.86075534936972,4.47116436039408,2.89047717174205,0,0,0,2733000000,2733000000,2733000000,2733000000,1111467173.16129,1110872064,1112928256,1111467173.16129,1102930448.51613,1102864384,1103028224,1102930448.51613
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 14:00:01 +0000 UTC,2023-06-07 14:15:00 +0000 UTC,stage-index,stage-index-zz5qw,stage-index,Job,stage-index,job,stage,quay.io/stage,ip.ec2.internal,9023750193,9.24,9.24,9.24,9.24,2.57835556641221,1.08180779330432,3.71154149516175,2.57835556641221,0,0,0,2733000000,2733000000,2733000000,2733000000,1081078288.51613,1080324096,1082871808,1081078288.51613,1070411511.74194,1070350336,1070620672,1070411511.74194
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 14:15:01 +0000 UTC,2023-06-07 14:30:00 +0000 UTC,stage-index,stage-index-zz5qw,stage-index,Job,stage-index,job,stage,quay.io/stage,ip.ec2.internal,9023750193,9.24,9.24,9.24,9.24,3.20949703073672,1.38860339999665,4.84327157842927,3.20949703073672,0,0,0,2733000000,2733000000,2733000000,2733000000,1081283242.66667,1080983552,1081905152,1081283242.66667,1072501828.26667,1072451584,1072644096,1072501828.26667
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 14:30:01 +0000 UTC,2023-06-07 14:45:00 +0000 UTC,stage-index,stage-index-zz5qw,stage-index,Job,stage-index,job,stage,quay.io/stage,ip.ec2.internal,9023750193,9.24,9.24,9.24,9.24,2.67097684332014,0.999264559561076,4.30383768730486,2.67097684332014,0,0,0,2733000000,2733000000,2733000000,2733000000,1111139493.16129,1110757376,1112502272,1111139493.16129,1102889092.12903,1102860288,1103093760,1102889092.12903
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 14:45:01 +0000 UTC,2023-06-07 15:00:00 +0000 UTC,stage-index,stage-index-zz5qw,stage-index,Job,stage-index,job,stage,quay.io/stage,ip.ec2.internal,9023750193,9.24,9.24,9.24,9.24,2.98574996435316,1.72470455329555,4.39871932060147,2.98574996435316,0,0,0,2733000000,2733000000,2733000000,2733000000,1081274235.87097,1080975360,1081921536,1081274235.87097,1070632035.09677,1070620672,1070669824,1070632035.09677
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 15:00:01 +0000 UTC,2023-06-07 15:15:00 +0000 UTC,stage-index,stage-index-zz5qw,stage-index,Job,stage-index,job,stage,quay.io/stage,ip.ec2.internal,9023750193,9.24,9.24,9.24,9.24,3.15918606809315,1.56571594479804,5.11584564947213,3.15918606809315,0,0,0,2733000000,2733000000,2733000000,2733000000,1081686835.2,1081540608,1082077184,1081686835.2,1072653926.4,1072635904,1072689152,1072653926.4
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 15:15:01 +0000 UTC,2023-06-07 15:30:00 +0000 UTC,stage-index,stage-index-zz5qw,stage-index,Job,stage-index,job,stage,quay.io/stage,ip.ec2.internal,9023750193,9.24,9.24,9.24,9.24,3.06968185231995,1.61570009673014,4.96633508950472,3.06968185231995,0,0,0,2733000000,2733000000,2733000000,2733000000,1111656910.45161,1111359488,1112584192,1111656910.45161,1103058613.67742,1103024128,1103110144,1103058613.67742
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 15:30:01 +0000 UTC,2023-06-07 15:45:00 +0000 UTC,stage-index,stage-index-zz5qw,stage-index,Job,stage-index,job,stage,quay.io/stage,ip.ec2.internal,9023750193,9.24,9.24,9.24,9.24,3.07929961482891,1.73068163976228,4.27930322673637,3.07929961482891,0,0,0,2733000000,2733000000,2733000000,2733000000,1081601519.48387,1080909824,1083867136,1081601519.48387,1070632167.22581,1070534656,1070747648,1070632167.22581
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 15:45:01 +0000 UTC,2023-06-07 16:00:00 +0000 UTC,stage-index,stage-index-zz5qw,stage-index,Job,stage-index,job,stage,quay.io/stage,ip.ec2.internal,9023750193,9.24,9.24,9.24,9.24,3.2879547172001,1.73054581349716,5.2083099101282,3.2879547172001,0,0,0,2733000000,2733000000,2733000000,2733000000,1081617749.33333,1081233408,1082073088,1081617749.33333,1072682052.26667,1072607232,1072746496,1072682052.26667
