report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name,cluster_name
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:30:01 +0000 UTC,2023-05-30 19:45:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007559999999999999,0.000325,0.001301,0.0007559999999999999,0.0010890000000000001,0.0010890000000000001,0.0010890000000000001,52428800.0,52428800.0,104857600.0,104857600.0,39155910.193548,39129088.0,39170048.0,39155910.193548,25259899.870968,25235456.0,25272320.0,25259899.870968,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 19:45:01 +0000 UTC,2023-05-30 20:00:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000778,0.00035099999999999997,0.0011380000000000001,0.000778,0.001274,0.001274,0.001274,52428800.0,52428800.0,104857600.0,104857600.0,39177975.741935,39051264.0,39432192.0,39177975.741935,25273112.774194,25157632.0,25346048.0,25273112.774194,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 20:00:01 +0000 UTC,2023-05-30 20:15:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007650000000000001,0.000348,0.001192,0.0007650000000000001,0.0008539999999999999,0.0008539999999999999,0.0008539999999999999,52428800.0,52428800.0,104857600.0,104857600.0,39174011.870968,39051264.0,39415808.0,39174011.870968,25260296.258065,25157632.0,25337856.0,25260296.258065,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 20:15:01 +0000 UTC,2023-05-30 20:30:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007639999999999999,0.000331,0.0011619999999999998,0.0007639999999999999,0.0007830000000000001,0.0007830000000000001,0.0007830000000000001,52428800.0,52428800.0,104857600.0,104857600.0,39117064.258065,39063552.0,39329792.0,39117064.258065,25186171.870968,25169920.0,25337856.0,25186171.870968,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 20:30:01 +0000 UTC,2023-05-30 20:45:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000766,0.000397,0.0010789999999999999,0.000766,0.000553,0.000553,0.000553,52428800.0,52428800.0,104857600.0,104857600.0,39074782.967741996,39063552.0,39329792.0,39074782.967741996,25169920.0,25169920.0,25169920.0,25169920.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 20:45:01 +0000 UTC,2023-05-30 21:00:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007599999999999999,0.0005549999999999999,0.001032,0.0007599999999999999,0.000262,0.000262,0.000262,52428800.0,52428800.0,104857600.0,104857600.0,39065798.193548,39063552.0,39067648.0,39065798.193548,25169920.0,25169920.0,25169920.0,25169920.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 21:00:01 +0000 UTC,2023-05-30 21:15:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000772,0.000336,0.0013310000000000002,0.000772,0.000525,0.000525,0.000525,52428800.0,52428800.0,104857600.0,104857600.0,39066458.838709995,39063552.0,39067648.0,39066458.838709995,25169920.0,25169920.0,25169920.0,25169920.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 21:15:01 +0000 UTC,2023-05-30 21:30:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.0007639999999999999,0.000319,0.0012439999999999999,0.0007639999999999999,0.001215,0.001215,0.001215,52428800.0,52428800.0,104857600.0,104857600.0,39074915.096774,39063552.0,39329792.0,39074915.096774,25169920.0,25169920.0,25169920.0,25169920.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 21:30:01 +0000 UTC,2023-05-30 21:45:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000753,0.000346,0.001393,0.000753,0.00043799999999999997,0.00043799999999999997,0.00043799999999999997,52428800.0,52428800.0,104857600.0,104857600.0,39074915.096774,39063552.0,39329792.0,39074915.096774,25169920.0,25169920.0,25169920.0,25169920.0,deployment,cert-manager-openshift-routes,cluster1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-30 21:45:01 +0000 UTC,2023-05-30 22:00:00 +0000 UTC,cert-manager-openshift-routes,cert-manager-openshift-routes-7fb679674b-hpcn5,cert-manager-openshift-routes-7fb679674b,ReplicaSet,cert-manager-openshift-routes,deployment,cert-manager,quay.io/app-sre/openshift-cert-manager-routes:0.1.3,ip-10-4-178-218.ec2.internal,i-08c215afd1f74979b,0.05,0.05,0.1,0.1,0.000762,0.00023999999999999998,0.001381,0.000762,0.000484,0.000484,0.000484,52428800.0,52428800.0,104857600.0,104857600.0,39104247.741935,39063552.0,39399424.0,39104247.741935,25198856.258065,25169920.0,25239552.0,25198856.258065,deployment,cert-manager-openshift-routes,cluster1
