report_period_start,report_period_end,interval_start,interval_end,container_name,owner_kind,workload,workload_type,namespace,image_name,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:30:01 +0000 UTC,2023-03-15 15:45:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.00077,0.000452,0.001188,0.00077,0,0,0,20971520,20971520,524288000,524288000,28414480.516129,28262400,28778496,28414480.516129,20820496.516129,20668416,21184512,20820496.516129,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:45:01 +0000 UTC,2023-03-15 16:00:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000793,0.000287,0.001556,0.000793,0,0,0,20971520,20971520,524288000,524288000,28448834.064516,28188672,28581888,28448834.064516,20854850.064516,20594688,20987904,20854850.064516,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:00:01 +0000 UTC,2023-03-15 16:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000881,0.000284,0.004151,0.000881,0,0,0,20971520,20971520,524288000,524288000,28635003.870968,28188672,29175808,28635003.870968,21009837.419355,20594688,21544960,21009837.419355,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:15:01 +0000 UTC,2023-03-15 16:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000773,0.000359,0.001046,0.000773,0,0,0,20971520,20971520,524288000,524288000,28647952.516129,28348416,29196288,28647952.516129,21017104.516129,20717568,21565440,21017104.516129,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:30:01 +0000 UTC,2023-03-15 16:45:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000781,0.000414,0.001248,0.000781,0,0,0,20971520,20971520,524288000,524288000,28611220.645161,28348416,29085696,28611220.645161,21015783.225806,20717568,21479424,21015783.225806,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:45:01 +0000 UTC,2023-03-15 17:00:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000764,0.000429,0.001305,0.000764,0,0,0,20971520,20971520,524288000,524288000,28624829.935484,28393472,29057024,28624829.935484,21090436.129032,20848640,21532672,21090436.129032,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:00:01 +0000 UTC,2023-03-15 17:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000885,0.00039,0.003563,0.000885,0,0,0,20971520,20971520,524288000,524288000,28560086.709677,28192768,29401088,28560086.709677,21150686.967742,20779008,21987328,21150686.967742,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:15:01 +0000 UTC,2023-03-15 17:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000813,0.000366,0.001904,0.000813,0,0,0,20971520,20971520,524288000,524288000,28384883.612903,28135424,28839936,28384883.612903,21036395.354839,20779008,21504000,21036395.354839,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:30:01 +0000 UTC,2023-03-15 17:45:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000788,0.000417,0.001133,0.000788,0,0,0,20971520,20971520,524288000,524288000,28446323.612903,28008448,29241344,28446323.612903,21110387.612903,20672512,21905408,21110387.612903,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:45:01 +0000 UTC,2023-03-15 18:00:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator-2,test,0.1,0.1,0.5,0.5,0.000763,0.000402,0.001092,0.000763,0,0,0,20971520,20971520,524288000,524288000,28520183.741935,27959296,28938240,28520183.741935,21184247.741935,20623360,21602304,21184247.741935,deployment,koku-metrics-operator
