interval_start_time,interval_end_time,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Tue Dec 20 21:40:12 UTC 2022,Tue Dec 20 21:55:12 UTC 2022,5.37,16.11,8,24,10.1357935901567,3.37859786338556,3.78942297675185,2.66977707079261,0,0,0,1193000000,3579000000,1500000000,4500000000,1869230740.64516,623076913.548387,708853760,527622144,1837735143.22581,612578381.075269,698511360,520892416,35712702.7172414,11904234.2390805,12214515.1264368,11670164.9310345
Tue Dec 20 21:55:12 UTC 2022,Tue Dec 20 22:10:12 UTC 2022,5.37,16.11,8,24,9.55468554314938,3.18489518104979,3.66097612442962,2.74066107575183,0,0,0,1193000000,3579000000,1500000000,4500000000,1877800101.16129,625933367.053763,708845568,535339008,1846449581.41935,615483193.806452,698433536,529334272,27950350.7517241,9316783.58390805,9346613.4,9297301.13793104
Tue Dec 20 22:10:12 UTC 2022,Tue Dec 20 22:25:13 UTC 2022,5.37,16.11,8,24,8.07138111892988,2.69046037297663,3.29872863727775,2.23248651319257,0,0,0,1193000000,3579000000,1500000000,4500000000,1879765520.51613,626588506.83871,708362240,541286400,1849219270.19355,616406423.397849,698277888,535023616,24319925.6505747,8106641.8835249,8224642.45747126,7910392.12873563
Tue Dec 20 22:25:13 UTC 2022,Tue Dec 20 22:40:13 UTC 2022,5.37,16.11,8,24,11.4579040636927,3.81930135456424,5.21721080437036,2.27507910785185,0,0,0,1193000000,3579000000,1500000000,4500000000,1893580667.87097,631193555.956989,713601024,541433856,1858563963.87097,619521321.290322,701423616,535330816,67101966.2931035,22367322.0977011,22669989.1712644,22167411.9045977
Tue Dec 20 22:40:13 UTC 2022,Tue Dec 20 22:55:13 UTC 2022,5.37,16.11,8,24,12.1769354107975,4.05897847026584,5.20446525337778,3.25358324688886,0,0,0,1193000000,3579000000,1500000000,4500000000,1907106188.3871,635702062.795699,717971456,550645760,1865527692.3871,621842564.129032,703897600,543309824,46464886.0839081,15488295.3613027,15639291.6264368,15377404.5586207
Tue Dec 20 22:55:13 UTC 2022,Tue Dec 20 23:10:14 UTC 2022,5.37,16.11,8,24,8.73707889392692,2.91235963130897,3.99961398575925,2.14165028458147,0,0,0,1193000000,3579000000,1500000000,4500000000,1900505814.70968,633501938.236559,717623296,549134336,1865511836.90323,621837278.967742,704356352,542744576,26615050.9862069,8871683.66206897,9057981.91264368,8677354.84367816
Tue Dec 20 23:10:14 UTC 2022,Tue Dec 20 23:25:14 UTC 2022,5.37,16.11,8,24,8.9635417955321,2.98784726517737,3.70458764186667,2.21280712303705,0,0,0,1193000000,3579000000,1500000000,4500000000,1897504829.66021,632501609.886738,714149888,548798464,1865295647.38065,621765215.793548,703205376,542744576,32110577.3643678,10703525.7881226,11101883.0413793,10475732.9942529
Tue Dec 20 23:25:14 UTC 2022,Tue Dec 20 23:40:15 UTC 2022,5.37,16.11,8,24,9.22226443660519,3.07408814553506,3.71793174642592,2.47049967477409,0,0,0,1193000000,3579000000,1500000000,4500000000,1894832722.58065,631610907.526882,713875456,548233216,1865187063.74194,621729021.247312,703049728,542498816,27939790.7057471,9313263.56858238,9415430.04827586,9238917.38390805
Tue Dec 20 23:40:15 UTC 2022,Tue Dec 20 23:55:15 UTC 2022,5.37,16.11,8,24,9.05406900328592,3.01802300109531,3.79059665009258,2.46702676600738,0,0,0,1193000000,3579000000,1500000000,4500000000,1900385048.77419,633461682.924731,720297984,548622336,1866891131.87097,622297043.956989,706019328,542400512,26965664.0344828,8988554.67816092,9055670.93333333,8868706.85977012
Tue Dec 20 23:55:15 UTC 2022,Wed Dec 21 00:10:16 UTC 2022,5.37,16.11,8,24,10.748921211987,3.58297373732901,3.97355685707039,3.13011860182963,0,0,0,1193000000,3579000000,1500000000,4500000000,1913720699.87097,637906899.956989,722632704,554905600,1875345408,625115136,708517888,546893824,30444700.7229885,10148233.5743295,10237918.9678161,9986174.42298851
Wed Dec 21 00:10:16 UTC 2022,Wed Dec 21 00:25:16 UTC 2022,5.37,16.11,8,24,10.6526740209126,3.5508913403042,3.9707105071963,3.10204645853336,0,0,0,1193000000,3579000000,1500000000,4500000000,1917506725.16129,639168908.387097,725434368,554823680,1879217713.54839,626405904.516129,710393856,546623488,30172333.3195402,10057444.4398467,10102675.3149425,10017725.0413793
Wed Dec 21 00:25:16 UTC 2022,Wed Dec 21 00:40:17 UTC 2022,5.37,16.11,8,24,10.7631599491053,3.5877199830351,3.99021273118889,3.18491469815555,0,0,0,1193000000,3579000000,1500000000,4500000000,1918825637.16129,639608545.72043,723939328,557035520,1881575556.12903,627191852.043011,711237632,548786176,30657735.0666667,10219245.0222222,10339259.062069,10119015.8298851
Wed Dec 21 00:40:17 UTC 2022,Wed Dec 21 00:55:17 UTC 2022,5.37,16.11,8,24,10.7310224917078,3.57700749723593,3.96387228262223,3.13325848021853,0,0,0,1193000000,3579000000,1500000000,4500000000,1928120914.58065,642706971.526882,729845760,557322240,1889742980.12903,629914326.709678,712835072,548921344,30337564.3678161,10112521.4559387,10210170.9701149,9965345.94022989
