report_period_start,report_period_end,start_timestamp,end_timestamp,namespace,cpu_request_namespace_sum,cpu_limit_namespace_sum,cpu_usage_namespace_avg,cpu_usage_namespace_min,cpu_usage_namespace_max,cpu_throttle_namespace_avg,cpu_throttle_namespace_max,cpu_throttle_namespace_min,memory_request_namespace_sum,memory_limit_namespace_sum,memory_usage_namespace_avg,memory_usage_namespace_min,memory_usage_namespace_max,memory_rss_usage_namespace_avg,memory_rss_usage_namespace_min,memory_rss_usage_namespace_max,namespace_totalpods_sum,namespace_running_pods_sum
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 21:30:01 +0000 UTC,2023-05-27 21:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000779,0.000336,0.001373,0.000593,0.000593,,52428800,104857600,38347280.516129,38338560,38600704,25292800,25292800,25292800,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 21:45:01 +0000 UTC,2023-05-27 22:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000778,0.000378,0.00133,0.001464,0.001464,,52428800,104857600,38378462.967742,38338560,38408192,25332570.83871,25292800,25362432,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 22:00:01 +0000 UTC,2023-05-27 22:15:00 +0000 UTC,cert-manager,0.05,0.1,0.000786,0.000379,0.001375,0.000589,0.000589,,52428800,104857600,38374499.096774,38277120,38412288,25328606.967742,25231360,25362432,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 22:15:01 +0000 UTC,2023-05-27 22:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000796,0.000399,0.001381,0.000741,0.000741,,52428800,104857600,38305395.612903,38277120,38539264,25251179.354839,25231360,25264128,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 22:30:01 +0000 UTC,2023-05-27 22:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000781,0.000437,0.001127,0.000894,0.000894,,52428800,104857600,38376613.16129,38309888,38604800,25322264.774194,25264128,25395200,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 22:45:01 +0000 UTC,2023-05-27 23:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000802,0.000322,0.001406,0.000612,0.000612,,52428800,104857600,38458004.645161,38440960,38703104,25395200,25395200,25395200,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 23:00:01 +0000 UTC,2023-05-27 23:15:00 +0000 UTC,cert-manager,0.05,0.1,0.00078,0.000367,0.001104,0.000797,0.000797,,52428800,104857600,38292182.709677,38244352,38440960,25246290.580645,25198592,25395200,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 23:15:01 +0000 UTC,2023-05-27 23:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000848,0.000344,0.001262,0.001042,0.001042,,52428800,104857600,38377273.806452,38354944,38395904,25331117.419355,25309184,25346048,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 23:30:01 +0000 UTC,2023-05-27 23:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000824,0.000339,0.001206,0.000346,0.000346,,52428800,104857600,38400396.387097,38391808,38653952,25346048,25346048,25346048,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-27 23:45:01 +0000 UTC,2023-05-28 00:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000796,0.0005,0.001177,0.00037,0.00037,,52428800,104857600,38440299.354839,38391808,38731776,25377230.451613,25346048,25423872,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 00:00:01 +0000 UTC,2023-05-28 00:15:00 +0000 UTC,cert-manager,0.05,0.1,0.000754,0.000336,0.001136,0.000633,0.000633,,52428800,104857600,38301960.258065,38277120,38469632,25256200.258065,25231360,25423872,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 00:15:01 +0000 UTC,2023-05-28 00:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000764,0.000368,0.001346,0.001061,0.001061,,52428800,104857600,38277120,38277120,38277120,25231360,25231360,25231360,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 00:30:01 +0000 UTC,2023-05-28 00:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000766,0.000338,0.001195,0.000693,0.000693,,52428800,104857600,38277252.129032,38277120,38281216,25231360,25231360,25231360,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 00:45:01 +0000 UTC,2023-05-28 01:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000771,0.000309,0.001241,0.001138,0.001138,,52428800,104857600,38386787.096774,38277120,38629376,25315658.322581,25231360,25321472,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 01:00:01 +0000 UTC,2023-05-28 01:15:00 +0000 UTC,cert-manager,0.05,0.1,0.000784,0.000417,0.001166,0.000575,0.000575,,52428800,104857600,38416516.129032,38367232,38686720,25336798.967742,25321472,25378816,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 01:15:01 +0000 UTC,2023-05-28 01:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000747,0.00032,0.001344,0.000811,0.000811,,52428800,104857600,38302092.387097,38293504,38424576,25256200.258065,25247744,25378816,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 01:30:01 +0000 UTC,2023-05-28 01:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000751,0.000405,0.001047,0.000663,0.000663,,52428800,104857600,38351640.774194,38293504,39559168,25288571.870968,25247744,26513408,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 01:45:01 +0000 UTC,2023-05-28 02:00:00 +0000 UTC,cert-manager,0.05,0.1,0.00083,0.00035,0.002602,0.001406,0.001406,,52428800,104857600,38704821.677419,38400000,39755776,25658797.419355,25354240,26710016,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 02:00:01 +0000 UTC,2023-05-28 02:15:00 +0000 UTC,cert-manager,0.05,0.1,0.001028,0.000383,0.00393,0.000574,0.000574,,52428800,104857600,38729794.064516,38420480,40632320,25675445.677419,25374720,27586560,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 02:15:01 +0000 UTC,2023-05-28 02:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000815,0.000446,0.001458,0.000445,0.000445,,52428800,104857600,38401981.935484,38293504,38760448,25347765.677419,25247744,25452544,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 02:30:01 +0000 UTC,2023-05-28 02:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000779,0.000355,0.001203,0.000422,0.000422,,52428800,104857600,38299185.548387,38244352,38395904,25253425.548387,25198592,25350144,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 02:45:01 +0000 UTC,2023-05-28 03:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000807,0.000453,0.001237,0.000194,0.000194,,52428800,104857600,38329971.612903,38211584,38604800,25275623.225806,25165824,25387008,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 03:00:01 +0000 UTC,2023-05-28 03:15:00 +0000 UTC,cert-manager,0.05,0.1,0.000776,0.000392,0.001361,0.000556,0.000556,,52428800,104857600,38371856.516129,38301696,38629376,25309184,25255936,25370624,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 03:15:01 +0000 UTC,2023-05-28 03:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000815,0.000513,0.00123,0.001108,0.001108,,52428800,104857600,38313191.225806,38248448,38572032,25250254.451613,25202688,25526272,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 03:30:01 +0000 UTC,2023-05-28 03:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000789,0.000303,0.001285,0.000573,0.000573,,52428800,104857600,38273156.129032,38273024,38277120,25227264,25227264,25227264,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 03:45:01 +0000 UTC,2023-05-28 04:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000792,0.00032,0.001241,0.000563,0.000563,,52428800,104857600,38275138.064516,38273024,38305792,25229378.064516,25227264,25260032,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 04:00:01 +0000 UTC,2023-05-28 04:15:00 +0000 UTC,cert-manager,0.05,0.1,0.00079,0.000295,0.001295,0.000755,0.000755,,52428800,104857600,38314908.903226,38305792,38567936,25260164.129032,25260032,25264128,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 04:15:01 +0000 UTC,2023-05-28 04:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000786,0.000393,0.001331,0.000915,0.000915,,52428800,104857600,38324422.193548,38227968,38400000,25278662.193548,25182208,25354240,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 04:30:01 +0000 UTC,2023-05-28 04:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000785,0.00044,0.001105,0.000139,0.000139,,52428800,104857600,38227968,38227968,38227968,25182208,25182208,25182208,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 04:45:01 +0000 UTC,2023-05-28 05:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000786,0.000403,0.001178,0.00059,0.00059,,52428800,104857600,38241973.677419,38227968,38252544,25196081.548387,25182208,25202688,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 05:00:01 +0000 UTC,2023-05-28 05:15:00 +0000 UTC,cert-manager,0.05,0.1,0.000794,0.000559,0.001174,0.000894,0.000894,,52428800,104857600,38257036.387097,38248448,38510592,25202688,25202688,25202688,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 05:15:01 +0000 UTC,2023-05-28 05:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000783,0.000382,0.001283,0.001043,0.001043,,52428800,104857600,38319533.419355,38248448,38350848,25273773.419355,25202688,25305088,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 05:30:01 +0000 UTC,2023-05-28 05:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000789,0.000398,0.001193,0.000673,0.000673,,52428800,104857600,38337106.580645,38252544,38514688,25282890.322581,25206784,25337856,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 05:45:01 +0000 UTC,2023-05-28 06:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000792,0.000435,0.001216,0.001174,0.001174,,52428800,104857600,38367232,38256640,38383616,25321339.870968,25210880,25333760,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 06:00:01 +0000 UTC,2023-05-28 06:15:00 +0000 UTC,cert-manager,0.05,0.1,0.000786,0.000288,0.001254,0.00021,0.00021,,52428800,104857600,38392997.16129,38318080,38535168,25345783.741935,25268224,25489408,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 06:15:01 +0000 UTC,2023-05-28 06:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000808,0.000532,0.001112,0.001213,0.001213,,52428800,104857600,38359436.387097,38236160,38428672,25313676.387097,25190400,25382912,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 06:30:01 +0000 UTC,2023-05-28 06:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000791,0.000443,0.001271,0.000838,0.000838,,52428800,104857600,38298524.903226,38236160,38789120,25218411.354839,25190400,25239552,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 06:45:01 +0000 UTC,2023-05-28 07:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000758,0.000395,0.001182,0.000633,0.000633,,52428800,104857600,38371724.387097,38285312,38612992,25300595.612903,25239552,25346048,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 07:00:01 +0000 UTC,2023-05-28 07:15:00 +0000 UTC,cert-manager,0.05,0.1,0.000782,0.000383,0.001147,0.001033,0.001033,,52428800,104857600,38407267.096774,38391808,38653952,25352918.709677,25346048,25354240,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 07:15:01 +0000 UTC,2023-05-28 07:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000787,0.00036,0.001147,0.001132,0.001132,,52428800,104857600,38400000,38400000,38400000,25354240,25354240,25354240,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 07:30:01 +0000 UTC,2023-05-28 07:45:00 +0000 UTC,cert-manager,0.05,0.1,0.000783,0.000404,0.0014,0.000121,0.000121,,52428800,104857600,38400000,38400000,38400000,25354240,25354240,25354240,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 07:45:01 +0000 UTC,2023-05-28 08:00:00 +0000 UTC,cert-manager,0.05,0.1,0.000772,0.000318,0.001151,0.001109,0.001109,,52428800,104857600,38400528.516129,38268928,38633472,25345915.870968,25223168,25423872,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 08:00:01 +0000 UTC,2023-05-28 08:15:00 +0000 UTC,cert-manager,0.05,0.1,0.00078,0.000328,0.001351,0.001088,0.001088,,52428800,104857600,38387315.612903,38273024,38690816,25316054.709677,25227264,25423872,1,1
2023-05-01 00:00:00 +0000 UTC,2023-06-01 00:00:00 +0000 UTC,2023-05-28 08:15:01 +0000 UTC,2023-05-28 08:30:00 +0000 UTC,cert-manager,0.05,0.1,0.000783,0.000328,0.001386,0.000545,0.000545,,52428800,104857600,38446377.290323,38428672,38690816,25382912,25382912,25382912,1,1
