experiment_name,namespace,timezone,namespaceCpuRequest_sum,namespaceCpuLimit_sum,namespaceMemoryRequest_sum,namespaceMemoryLimit_sum,namespaceCpuUsage_avg,namespaceCpuUsage_min,namespaceCpuUsage_max,namespaceCpuThrottle_avg,namespaceCpuThrottle_min,namespaceCpuThrottle_max,namespaceMemoryRSS_avg,namespaceMemoryRSS_min,namespaceMemoryRSS_max,namespaceMemoryUsage_avg,namespaceMemoryUsage_min,namespaceMemoryUsage_max,cost_short_term_cpu_requests,cost_short_term_memory_requests,cost_short_term_cpu_limits,cost_short_term_memory_limits,cost_medium_term_cpu_requests,cost_medium_term_memory_requests,cost_medium_term_cpu_limits,cost_medium_term_memory_limits,cost_long_term_cpu_requests,cost_long_term_memory_requests,cost_long_term_cpu_limits,cost_long_term_memory_limits,cost_short_term_cpu_requests_variation,cost_short_term_memory_requests_variation,cost_short_term_cpu_limits_variation,cost_short_term_memory_limits_variation,cost_medium_term_cpu_requests_variation,cost_medium_term_memory_requests_variation,cost_medium_term_cpu_limits_variation,cost_medium_term_memory_limits_variation,cost_long_term_cpu_requests_variation,cost_long_term_memory_requests_variation,cost_long_term_cpu_limits_variation,cost_long_term_memory_limits_variation,performance_short_term_cpu_requests,performance_short_term_memory_requests,performance_short_term_cpu_limits,performance_short_term_memory_limits,performance_medium_term_cpu_requests,performance_medium_term_memory_requests,performance_medium_term_cpu_limits,performance_medium_term_memory_limits,performance_long_term_cpu_requests,performance_long_term_memory_requests,performance_long_term_cpu_limits,performance_long_term_memory_limits,performance_short_term_cpu_requests_variation,performance_short_term_memory_requests_variation,performance_short_term_cpu_limits_variation,performance_short_term_memory_limits_variation,performance_medium_term_cpu_requests_variation,performance_medium_term_memory_requests_variation,performance_medium_term_cpu_limits_variation,performance_medium_term_memory_limits_variation,performance_long_term_cpu_requests_variation,performance_long_term_memory_requests_variation,performance_long_term_cpu_limits_variation,performance_long_term_memory_limits_variation,namespaceCpuUsage_format,namespaceMemoryUsage_format
e23-alias|cert-manager,cert-manager,2023-06-06T13:00:00.000Z,0.05,0.1,50.0,100.0,0.000752,0.000405,0.001242,0.000782,,0.000782,23.875,23.875,23.875,36.1905241935482,36.171875,36.42578125,0.00762,41.56796875,0.00762,41.56796875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.432031250000001,-0.09238,-58.43203125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,0.00762,41.56796875,0.00762,41.56796875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.432031250000001,-0.09238,-58.43203125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,cores,MiB
e23-alias|cert-manager,cert-manager,2023-06-06T13:15:00.000Z,0.05,0.1,50.0,100.0,0.000756,0.00043,0.001272,0.000646,,0.000646,23.91809475806427,23.875,23.94140625,36.23450100806427,36.17578125,36.484375,0.00762,41.56796875,0.00762,41.56796875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.432031250000001,-0.09238,-58.43203125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,0.00762,41.56796875,0.00762,41.56796875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.432031250000001,-0.09238,-58.43203125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,cores,MiB
e23-alias|cert-manager,cert-manager,2023-06-06T13:30:00.000Z,0.05,0.1,50.0,100.0,0.00077,0.000377,0.001337,0.000785,,0.000785,23.94140625,23.94140625,23.94140625,36.2235383064518,36.1953125,36.4921875,0.00762,41.56796875,0.00762,41.56796875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.432031250000001,-0.09238,-58.43203125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,0.00762,41.56796875,0.00762,41.56796875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.432031250000001,-0.09238,-58.43203125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,cores,MiB
e23-alias|cert-manager,cert-manager,2023-06-06T13:45:00.000Z,0.05,0.1,50.0,100.0,0.000757,0.000276,0.001114,0.000883,,0.000883,23.944430443548203,23.94140625,23.953125,36.201108870967865,36.1953125,36.2109375,0.00762,41.56796875,0.00762,41.56796875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.432031250000001,-0.09238,-58.43203125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,0.00762,41.56796875,0.00762,41.56796875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.432031250000001,-0.09238,-58.43203125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,cores,MiB
e23-alias|cert-manager,cert-manager,2023-06-06T14:00:00.000Z,0.05,0.1,50.0,100.0,0.00075,0.000349,0.001144,0.000627,,0.000627,23.883568548387526,23.7734375,23.953125,36.14516129032231,36.0234375,36.4609375,0.00762,41.56796875,0.00762,41.56796875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.432031250000001,-0.09238,-58.43203125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,0.00762,41.56796875,0.00762,41.56796875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.432031250000001,-0.09238,-58.43203125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,cores,MiB
e23-alias|cert-manager,cert-manager,2023-06-06T14:15:00.000Z,0.05,0.1,50.0,100.0,0.001007,0.000488,0.005055,0.000856,,0.000856,24.528729838709832,23.7734375,26.21484375,36.81123991935444,36.0234375,38.46875,0.00762,41.61875,0.00762,41.61875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.381250000000001,-0.09238,-58.38125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,0.00762,41.61875,0.00762,41.61875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.381250000000001,-0.09238,-58.38125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,cores,MiB
e23-alias|cert-manager,cert-manager,2023-06-06T14:30:00.000Z,0.05,0.1,50.0,100.0,0.000759,0.000361,0.001345,0.001015,,0.001015,23.87373991935444,23.77734375,23.9140625,36.12235383064556,36.02734375,36.16015625,0.00762,41.61875,0.00762,41.61875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.381250000000001,-0.09238,-58.38125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,0.00762,41.61875,0.00762,41.61875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.381250000000001,-0.09238,-58.38125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,cores,MiB
e23-alias|cert-manager,cert-manager,2023-06-06T14:45:00.000Z,0.05,0.1,50.0,100.0,0.000771,0.000352,0.001236,0.001416,,0.001416,23.934097782258032,23.9140625,24.1875,36.108870967741964,36.05078125,36.35546875,0.00762,41.61875,0.00762,41.61875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.381250000000001,-0.09238,-58.38125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,0.00762,41.61875,0.00762,41.61875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.381250000000001,-0.09238,-58.38125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,cores,MiB
e23-alias|cert-manager,cert-manager,2023-06-06T15:00:00.000Z,0.05,0.1,50.0,100.0,0.000759,0.000477,0.001199,0.000784,,0.000784,23.92578125,23.92578125,23.92578125,36.0561995967741,36.04296875,36.296875,0.00762,41.61875,0.00762,41.61875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.381250000000001,-0.09238,-58.38125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,0.00762,41.61875,0.00762,41.61875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.381250000000001,-0.09238,-58.38125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,cores,MiB
e23-alias|cert-manager,cert-manager,2023-06-06T15:15:00.000Z,0.05,0.1,50.0,100.0,0.000773,0.000479,0.001225,0.000775,,0.000775,23.94128024193573,23.92578125,23.9609375,36.061491935483936,36.04296875,36.08203125,0.00762,41.61875,0.00762,41.61875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.381250000000001,-0.09238,-58.38125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,0.00762,41.61875,0.00762,41.61875,0.015679,42.52890625,0.015679,42.52890625,0.015679,43.290625,0.015679,43.290625,-0.04238,-8.381250000000001,-0.09238,-58.38125,-0.034321000000000004,-7.471093750000001,-0.08432100000000001,-57.47109375,-0.034321000000000004,-6.709375000000001,-0.08432100000000001,-56.709375,cores,MiB
