start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_sum_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Fri Mar 24 19:20:33 UTC 2023,Fri Mar 24 19:35:34 UTC 2023,9.24,27.72,9.24,27.72,0.002450228213177,0.000816742737726,0.003345015924424,0.001528647829158,0.00022264723666,0,0,0,2733000000,8199000000,2733000000,8199000000,3223601152,1074533717.33333,1111457792,1039753216,3200524288,1066841429.33333,1103302656,1030733824,174.436781609195,58.1455938697318,58.3494252873563,58.0114942528736
Fri Mar 24 19:35:34 UTC 2023,Fri Mar 24 19:50:34 UTC 2023,9.24,27.72,9.24,27.72,0.00247341056432,0.000824470188107,0.003491927458284,0.001523029400657,0.00019771103592,0,0,0,2733000000,8199000000,2733000000,8199000000,3223601152,1074533717.33333,1111457792,1039753216,3200524288,1066841429.33333,1103302656,1030733824,173.680459770115,57.8934865900383,58.9448275862069,57.0137931034483
Fri Mar 24 19:50:34 UTC 2023,Fri Mar 24 20:05:35 UTC 2023,9.24,27.72,9.24,27.72,0.002477168955375,0.000825722985125,0.003657772764564,0.001670014796158,0.000192615397585,0,0,0,2733000000,8199000000,2733000000,8199000000,3223601152,1074533717.33333,1111457792,1039753216,3200524288,1066841429.33333,1103302656,1030733824,172.232183908046,57.4107279693487,57.8827586206897,56.6919540229885
Fri Mar 24 20:05:35 UTC 2023,Fri Mar 24 20:20:35 UTC 2023,9.24,27.72,9.24,27.72,0.00246091336788,0.00082030445596,0.003698123106733,0.001643047505058,0.000183128239587,0,0,0,2733000000,8199000000,2733000000,8199000000,3223601152,1074533717.33333,1111457792,1039753216,3200524288,1066841429.33333,1103302656,1030733824,174.275862068966,58.0919540229885,58.3494252873563,57.9471264367816
Fri Mar 24 20:20:35 UTC 2023,Fri Mar 24 20:35:36 UTC 2023,9.24,27.72,9.24,27.72,0.00247139504645,0.000823798348817,0.003618301521055,0.001668473294315,0.000206818206546,0,0,0,2733000000,8199000000,2733000000,8199000000,3223601152,1074533717.33333,1111457792,1039753216,3200524288,1066841429.33333,1103302656,1030733824,172.972413793103,57.6574712643678,58.4137931034483,56.4666666666667
Fri Mar 24 20:35:36 UTC 2023,Fri Mar 24 20:50:36 UTC 2023,9.24,27.72,9.24,27.72,7.53479081370014,2.51159693790005,17.8640781061724,6.53391488510339,0.00025389729999,0,0,0,2733000000,8199000000,2733000000,8199000000,3222407234.06452,1074135744.68817,1114025984,1039753216,3195633738.87312,1065211246.29104,1104039936,1030733824,17762878.3321839,5920959.4440613,6477241.2954023,5548931.75057471
Fri Mar 24 20:50:36 UTC 2023,Fri Mar 24 21:05:37 UTC 2023,9.24,27.72,9.24,27.72,11.8159851514015,3.93866171713384,17.7028252547607,7.23580067550453,1.56930140996507,0,0,0,2733000000,8199000000,2733000000,8199000000,3200894421.05806,1066964807.01935,1084030976,1041829888,3170549191.84516,1056849730.61505,1071419392,1031589888,49452373.3827586,16484124.4609195,18432125.5505747,15239299.3563218
Fri Mar 24 21:05:37 UTC 2023,Fri Mar 24 21:20:37 UTC 2023,9.24,27.72,9.24,27.72,8.75415242403203,2.91805080801068,12.3311072627005,4.7532620076711,1.23146685066167,0,0,0,2733000000,8199000000,2733000000,8199000000,3198810345.42796,1066270115.14265,1083613184,1041539072,3170004965.57419,1056668321.85806,1071321088,1031548928,36932187.5574713,12310729.1858238,14138217.9701149,11100369.4068966
Fri Mar 24 21:20:37 UTC 2023,Fri Mar 24 21:35:38 UTC 2023,9.24,27.72,9.24,27.72,15.6860328391179,5.22867761303929,23.1546840974052,8.74315218596409,1.36998547696664,0,0,0,2733000000,8199000000,2733000000,8199000000,3153627594.04731,1051209198.01577,1083277312,1013612544,3117658261.74624,1039219420.58208,1071378432,998875136,98024965.7344828,32674988.5781609,36846514.9896552,29771003.2655172
Fri Mar 24 21:35:38 UTC 2023,Fri Mar 24 21:50:38 UTC 2023,9.24,27.72,9.24,27.72,12.4314911534446,4.14383038448153,21.1214617834349,7.14417944156254,1.17721196659841,0,0,0,2733000000,8199000000,2733000000,8199000000,3139708540.4215,1046569513.47384,1083092992,1013649408,3102202855.77634,1034067618.59211,1071378432,998883328,99251731.0068966,33083910.3356322,36296397.4195402,30921998.4022989
Fri Mar 24 21:50:38 UTC 2023,Fri Mar 24 22:05:39 UTC 2023,9.24,27.72,9.24,27.72,9.05996950858195,3.01998983619398,12.4718349731372,4.82728404320466,1.65344102405943,0,0,0,2733000000,8199000000,2733000000,8199000000,3138881055.93118,1046293685.31039,1083138048,1013260288,3102045234.64946,1034015078.21649,1071345664,998801408,43817222.9724138,14605740.9908046,14769267.2321839,14347514.8747126
Fri Mar 24 22:05:39 UTC 2023,Fri Mar 24 22:20:39 UTC 2023,9.24,27.72,9.24,27.72,8.48064092252559,2.82688030750853,11.6323591764783,4.18100400132438,1.25661091416453,0,0,0,2733000000,8199000000,2733000000,8199000000,3138093509.64301,1046031169.881,1083920384,1013268480,3101652291.71613,1033884097.23871,1071312896,998801408,37260920.4816092,12420306.8272031,13975474.9850575,11579021.4597701
Fri Mar 24 22:20:39 UTC 2023,Fri Mar 24 22:35:40 UTC 2023,9.24,27.72,9.24,27.72,9.01634674204307,3.00544891401435,13.4444728561677,4.69014808807212,1.27134538049965,0,0,0,2733000000,8199000000,2733000000,8199000000,3139078108.76559,1046359369.58853,1083289600,1013293056,3101978694.46882,1033992898.15627,1071370240,998825984,40550709.7678161,13516903.2559387,13991257.1114943,13222967.9770115
Fri Mar 24 22:35:40 UTC 2023,Fri Mar 24 22:50:40 UTC 2023,9.24,27.72,9.24,27.72,4.2901647031359,1.4300549010453,12.3257822898915,4.17007636626562,0.000207615566129,0,0,0,2733000000,8199000000,2733000000,8199000000,3135631417.25591,1045210472.41864,1083154432,1011630080,3100780944.7914,1033593648.2638,1071370240,998055936,29811057.0850575,9937019.02835249,10124624.2655172,9817904.48965517
Fri Mar 24 22:50:40 UTC 2023,Fri Mar 24 23:05:41 UTC 2023,9.24,27.72,9.24,27.72,0.00235661333401,0.000785537778003,0.003471864697834,0.001387440304582,0.000231394567527,0,0,0,2733000000,8199000000,2733000000,8199000000,3132321792,1044107264,1080860672,1011630080,3099619328,1033206442.66667,1070694400,998055936,185.726436781609,61.9088122605364,63.1241379310345,60.1655172413793
Fri Mar 24 23:05:41 UTC 2023,Fri Mar 24 23:20:41 UTC 2023,9.24,27.72,9.24,27.72,11.2157893740624,3.73859645802079,17.6319200918389,6.4901437852066,0.000380667733649,0,0,0,2733000000,8199000000,2733000000,8199000000,3148064142.58925,1049354714.19642,1088389120,1011630080,3106238023.56989,1035412674.5233,1073127424,998055936,29073040.1436782,9691013.38122605,10089305.1183908,9382968.31494253
Fri Mar 24 23:20:41 UTC 2023,Fri Mar 24 23:35:42 UTC 2023,9.24,27.72,9.24,27.72,8.65175221571026,2.88391740523675,15.6105206939081,5.45890679160754,1.55946366476516,0,0,0,2733000000,8199000000,2733000000,8199000000,3131120783.13978,1043706927.71326,1175584768,1014308864,3090351181.07527,1030117060.35842,1163378688,999186432,38006535.2609195,12668845.0869732,13194931.216092,12372998.7126437
