report_period_start,report_period_end,interval_start,interval_end,container_name,owner_kind,workload,workload_type,namespace,image_name,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum,k8_object_type,k8_object_name
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 15:45:01 +0000 UTC,2023-03-15 16:00:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001334,0.00095,0.002087,0.001334,0,0,0,20971520,20971520,524288000,524288000,42517008.516129,42287104,42872832,42517008.516129,26194052.129032,25968640,26550272,26194052.129032,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:00:01 +0000 UTC,2023-03-15 16:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001636,0.000614,0.008432,0.001636,3E-06,3E-06,3E-06,20971520,20971520,524288000,524288000,42876135.225806,42311680,48410624,42876135.225806,26394095.483871,25993216,31899648,26394095.483871,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:15:01 +0000 UTC,2023-03-15 16:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001329,0.000589,0.002237,0.001329,0,0,0,20971520,20971520,524288000,524288000,42681641.290323,42475520,42971136,42681641.290323,26169211.870968,25960448,26460160,26169211.870968,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:30:01 +0000 UTC,2023-03-15 16:45:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001372,0.000628,0.002219,0.001372,0,0,0,20971520,20971520,524288000,524288000,42687454.967742,42385408,43106304,42687454.967742,26277821.935484,26001408,26722304,26277821.935484,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 16:45:01 +0000 UTC,2023-03-15 17:00:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001334,0.000494,0.002257,0.001334,0,0,0,20971520,20971520,524288000,524288000,42553608.258065,42213376,43347968,42553608.258065,26316932.129032,26009600,27090944,26316932.129032,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:00:01 +0000 UTC,2023-03-15 17:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001661,0.000582,0.009049,0.001661,5.2E-05,5.2E-05,5.2E-05,20971520,20971520,524288000,524288000,42307055.483871,41881600,42713088,42307055.483871,26353135.483871,26050560,26738688,26353135.483871,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:15:01 +0000 UTC,2023-03-15 17:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001349,0.000692,0.002161,0.001349,0,0,0,20971520,20971520,524288000,524288000,42223549.935484,42041344,42614784,42223549.935484,26247696.516129,26066944,26640384,26247696.516129,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:30:01 +0000 UTC,2023-03-15 17:45:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001376,0.000681,0.003231,0.001376,0,0,0,20971520,20971520,524288000,524288000,42205316.129032,41439232,42790912,42205316.129032,26366612.645161,25870336,27525120,26366612.645161,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 17:45:01 +0000 UTC,2023-03-15 18:00:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001335,0.000522,0.002125,0.001335,0,0,0,20971520,20971520,524288000,524288000,41517716.645161,41193472,41955328,41517716.645161,26247564.387097,25927680,26689536,26247564.387097,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 18:00:01 +0000 UTC,2023-03-15 18:15:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001674,0.000764,0.009875,0.001674,4.5E-05,4.5E-05,4.5E-05,20971520,20971520,524288000,524288000,41201267.612903,40808448,44015616,41201267.612903,26335958.709677,25952256,29163520,26335958.709677,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 18:15:01 +0000 UTC,2023-03-15 18:30:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001356,0.000538,0.002088,0.001356,0,0,0,20971520,20971520,524288000,524288000,40940312.774194,40779776,41353216,40940312.774194,26110546.580645,25915392,26488832,26110546.580645,deployment,koku-metrics-operator
2023-03-01 00:00:00 +0000 UTC,2023-04-01 00:00:00 +0000 UTC,2023-03-15 18:30:01 +0000 UTC,2023-03-15 18:45:00 +0000 UTC,manager,ReplicaSet,koku-metrics-operator,deployment,koku-metrics-operator,test,0.1,0.1,0.5,0.5,0.001403,0.00061,0.002463,0.001403,0,0,0,20971520,20971520,524288000,524288000,41227957.677419,40873984,41639936,41227957.677419,26239108.129032,25755648,26615808,26239108.129032,deployment,koku-metrics-operator
